k,d,precision,recall,f-score
3,1,0.9899150743099788,0.6477943730461966,0.7831198824270417
3,2,0.9899150743099788,0.6477943730461966,0.7831198824270417
6,1,0.981998199819982,0.7579020493226815,0.855518525779259
6,2,0.9819900945520036,0.7575547064953109,0.8552941176470588
9,1,0.9805341783612496,0.7523445640847517,0.8514150943396228
9,2,0.9818181818181818,0.7502605071205279,0.8505611340815121
3,1,0.9915397631133672,0.6106286905175408,0.7558039552880481
3,2,0.990990990990991,0.611323376172282,0.7561761546723953
6,1,0.9837119588512644,0.7971517888155609,0.8806600153491941
6,2,0.9845027981058976,0.794373046196596,0.8792772010765091
9,1,0.9840566873339238,0.771795762417506,0.8650963597430407
9,2,0.9833408374606033,0.7585967349774227,0.8564705882352941
