k,d,Weights,precision None,recall None,f-score None
1,1,uniform,0.7272727272727273,0.8,0.8329156223893066
1,1,distance,0.7272727272727273,0.8,0.8329156223893066
1,2,uniform,0.7272727272727273,0.8,0.8329156223893066
1,2,distance,0.7272727272727273,0.8,0.8329156223893066
3,1,uniform,0.7272727272727273,0.8,0.8329156223893066
3,1,distance,0.7272727272727273,0.8,0.8329156223893066
3,2,uniform,0.7272727272727273,0.8,0.8364243943191312
3,2,distance,0.7272727272727273,0.8,0.8364243943191312
5,1,uniform,0.7272727272727273,0.8,0.8329156223893066
5,1,distance,0.7272727272727273,0.8,0.8329156223893066
5,2,uniform,0.8181818181818182,0.9,0.899749373433584
5,2,distance,0.8181818181818182,0.9,0.899749373433584
1,1,uniform,0.7272727272727273,0.8,0.8329156223893066
1,1,distance,0.7272727272727273,0.8,0.8329156223893066
1,2,uniform,0.7272727272727273,0.8,0.8329156223893066
1,2,distance,0.7272727272727273,0.8,0.8329156223893066
3,1,uniform,0.7272727272727273,0.8,0.8329156223893066
3,1,distance,0.7272727272727273,0.8,0.8329156223893066
3,2,uniform,0.7272727272727273,0.8,0.8364243943191312
3,2,distance,0.7272727272727273,0.8,0.8364243943191312
5,1,uniform,0.7272727272727273,0.8,0.8329156223893066
5,1,distance,0.7272727272727273,0.8,0.8329156223893066
5,2,uniform,0.8181818181818182,0.9,0.899749373433584
5,2,distance,0.8181818181818182,0.9,0.899749373433584
1,1,uniform,0.7272727272727273,0.8,0.8329156223893066
1,1,distance,0.7272727272727273,0.8,0.8329156223893066
1,2,uniform,0.7272727272727273,0.8,0.8329156223893066
1,2,distance,0.7272727272727273,0.8,0.8329156223893066
3,1,uniform,0.7272727272727273,0.8,0.8329156223893066
3,1,distance,0.7272727272727273,0.8,0.8329156223893066
3,2,uniform,0.7272727272727273,0.8,0.8364243943191312
3,2,distance,0.7272727272727273,0.8,0.8364243943191312
5,1,uniform,0.7272727272727273,0.8,0.8329156223893066
5,1,distance,0.7272727272727273,0.8,0.8329156223893066
5,2,uniform,0.8181818181818182,0.9,0.899749373433584
5,2,distance,0.8181818181818182,0.9,0.899749373433584
1,1,uniform,0.7272727272727273,0.8,0.8329156223893066
1,1,distance,0.7272727272727273,0.8,0.8329156223893066
1,2,uniform,0.7272727272727273,0.8,0.8329156223893066
1,2,distance,0.7272727272727273,0.8,0.8329156223893066
3,1,uniform,0.7272727272727273,0.8,0.8329156223893066
3,1,distance,0.7272727272727273,0.8,0.8329156223893066
3,2,uniform,0.7272727272727273,0.8,0.8364243943191312
3,2,distance,0.7272727272727273,0.8,0.8364243943191312
5,1,uniform,0.7272727272727273,0.8,0.8329156223893066
5,1,distance,0.7272727272727273,0.8,0.8329156223893066
5,2,uniform,0.8181818181818182,0.9,0.899749373433584
